What is your gender,what did the program that you learn in high school ?,How did you entrance to the university?,GPA of High school ,O-net score of Thai language subject at M.6 ,O-net score of mathematics at M.6 ,O-net score in Science at M.6 ,O-net score in Social Studies at M.6 ,O-net score in English at M.6 ,1Whattheability,2Whattheability,3Whattheability,4Whattheability,5Whattheability,6Whattheability,7Whattheability,8Whattheability,9Whattheability,10Whattheability,11Whattheability,12Whattheability,1Whatsubjectgood,2Whatsubjectgood,3Whatsubjectgood,4Whatsubjectgood,5Whatsubjectgood,6Whatsubjectgood,7Whatsubjectgood,8Whatsubjectgood,1Whatskillsgood,2Whatskillsgood,3Whatskillsgood,4Whatskillsgood,5Whatskillsgood,6Whatskillsgood,1Whatskillsproblem,2Whatskillsproblem,3Whatskillsproblem,4Whatskillsproblem,5Whatskillsproblem,6Whatskillsproblem,1Whichsideareyouinterest,2Whichsideareyouinterest,3Whichsideareyouinterest,4Whichsideareyouinterest,5Whichsideareyouinterest,6Whichsideareyouinterest,7Whichsideareyouinterest,8Whichsideareyouinterest,Did you do any school activities when you were in high school?,Did you compete academically during high school?,1activities,2activities,3activities,4activities,5activities,6activities,7activities,What faculties are you currently studying ?
0,1,0,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3
1,1,0,3,2,2,1,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
1,1,0,3,3,2,2,2,2,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
1,1,0,4,2,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
1,1,0,3,3,3,3,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,3
1,1,0,2,2,2,2,2,2,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3
1,1,0,4,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,1,0,3,3,2,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,0,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1
0,1,0,4,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
0,5,0,4,3,3,3,3,3,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1
0,1,0,4,4,1,2,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,5,0,3,3,3,2,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1
1,1,0,4,3,2,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
1,2,0,3,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1
0,1,0,3,2,2,2,2,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1
1,1,0,1,3,2,2,3,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
1,2,0,4,2,1,1,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,6
1,1,0,4,3,2,2,3,2,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,6
0,1,0,4,3,1,2,2,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1
