ประทับเวลา,คุณเป็นเพศอะไร,คุณกำลังศึกษาอยู่ในสถาบันเจ้าคุณทหารลาดกระบังหรือไม่,กำลังศึกษาอยู่ชั้นปีการศึกษาใดในมหาวิทยาลัย,คณะที่คุณกำลังศึกษาอยู่ในขณะนี้,GPA ขณะกำลังศึกษาอยู่ปัจจุบัน ( เกรดรวม ),สายการเรียนตอนมัธยมปลาย,คุณเข้ามหาลัยด้วยวิธีแบบใด,คุณจบการศึกษาระดับมัธยมปลายปี พ.ศ.ใด,GPA ในระดับชั้นมัธยมปลาย,คะแนน O-net วิชาภาษาไทย ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาคณิตศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาวิทยาศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาสังคมศึกษา ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาภาษาอังกฤษ ระดับชั้นมัธยมศึกษาปีที่ 6,ความสามารถที่คุณคิดว่าตัวเองมี(ตอบได้มากกว่า 1 ข้อ),วิชาที่ถนัดในการเรียนมัธยมปลายมีอะไรบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าคุณถนัดทักษะแบบไหนบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าทักษะไหนเป็นปัญหากับคุณบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณสนใจทางด้านไหนบ้าง (ตอบได้มากกว่า 1 ข้อ),คุณเคยเข้าร่วมกิจกรรมของโรงเรียนเมื่อคุณยังศึกษาอยู่ในระดับมัธยมหรือไม่,คุณเคยแข่งขันทางวิชาการในช่วงมัธยมหรือไม่,คุณเคยลงเข้าร่วมกิจกรรมการเเข่งขันวิชาการ กลุ่มสาระใดบ้าง,ข้อเสนอแนะ
3/7/2021 22:06:25,ชาย,กำลังศึกษา,ปี 3,อุตสาหกรรมการเกษตร,2.5,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, หมั่นฝึกฝน, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์","คิดวิเคราะห์, คิดคำนวณ","พูด, เขียน","การบันเทิง, เทคโนโลยี",เข้าร่วมทุกครั้ง,ไม่เคย,ไม่เคยเข้าร่วม,
3/8/2021 15:01:01,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.5,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,60.01 - 80.00,40.01 - 60.00,"มีความอดทน, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ความมั่นใจในตัวเอง","ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านงานฝีมือ","ฟัง, เขียน, คิดคำนวณ","พูด, อ่าน, คิดวิเคราะห์","ศิลปะ, การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
3/8/2021 15:03:05,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.77,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, การวิเคราะห์, หมั่นฝึกฝน","ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","อ่าน, คิดคำนวณ",คิดวิเคราะห์,"การศึกษา, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
3/8/2021 15:03:38,หญิง,กำลังศึกษา,ปี 3,อุตสาหกรรมการเกษตร,2.5,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,"มีความอดทน, ชอบการทดลอง, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านคณิตศาสตร์, ด้านภาษา",อ่าน,"พูด, คิดวิเคราะห์, คิดคำนวณ",ไม่สนใจที่กล่าวมา,เข้าร่วมทุกครั้ง,ไม่เคย,ไม่เคยเข้าร่วม,
3/8/2021 15:06:20,หญิง,กำลังศึกษา,ปี 3,อุตสาหกรรมการเกษตร,2.21,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,"มีความอดทน, ตรงต่อเวลา","ด้านศิลปะ, ด้านกีฬา, ด้านสังคม","ฟัง, พูด","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ","ศิลปะ, การเมือง, การบันเทิง, สิ่งแวดล้อม",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน, กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ",
3/8/2021 15:19:09,หญิง,กำลังศึกษา,ปี 3,อุตสาหกรรมการเกษตร,2.52,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,2.51 - 3.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, ตรงต่อเวลา","ด้านคณิตศาสตร์, ด้านภาษา","ฟัง, อ่าน, เขียน","พูด, คิดวิเคราะห์, คิดคำนวณ","การเมือง, การบันเทิง",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/8/2021 15:32:20,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.5,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดคำนวณ","พูด, คิดวิเคราะห์","การบันเทิง, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/8/2021 15:36:07,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.27,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,40.01 - 60.00,"มีความอดทน, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา","ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดคำนวณ","อ่าน, เขียน, คิดวิเคราะห์",เทคโนโลยี,เข้าร่วมทุกครั้ง,เคย,กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น,
3/8/2021 15:56:43,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.2,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,2.51 - 3.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, การวิเคราะห์",ด้านคอมพิวเตอร์,"ฟัง, คิดวิเคราะห์","เขียน, คิดคำนวณ","การศึกษา, ศิลปะ, การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",ไม่เคยเข้าร่วมเลย,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking, กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น","คุณเคยเข้าร่วมกิจกรรมของโรงเรียนเมื่อคุณยังศึกษาอยู่ในระดับมัธยมหรือไม่ 
ขอ choice เข้าบ้าง ไม่เข้าบ้าง "
3/8/2021 16:59:58,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.58,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.51 - 4.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, หมั่นฝึกฝน, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านกีฬา, ด้านสังคม, ด้านคอมพิวเตอร์","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ",เขียน,"การศึกษา, ศิลปะ, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ",
